Component_ID,Lot_ID,Time_hr,Temperature_C,Voltage_V,Current_mA,Stress_Value,Is_Anomaly,Failure_Mode
C00016,LOT04,24,125.56,3.6213,44.853,99.01,0,None
C00016,LOT04,72,124.57,3.6279,43.739,100,0,None
C00016,LOT04,168,124,3.6167,43.35,100,0,None
C00017,LOT05,0,25.21,0.0044,0.008,0,0,None
C00017,LOT05,24,124.51,3.6226,48.163,100,0,None
C00017,LOT05,72,123.3,3.6134,46.564,100,0,None
C00017,LOT05,168,123.29,3.6265,43.541,98.55,0,None
C00018,LOT06,0,25.66,0,0.072,0,0,None
C00018,LOT06,24,123.28,3.5795,47.617,100,0,None
C00018,LOT06,72,123.18,3.5756,44.865,96.79,0,None
C00018,LOT06,168,123.61,3.5776,44.213,98.91,0,None
C00019,LOT07,0,25.61,0.0049,0.049,0,0,None
C00019,LOT07,24,126.95,3.6206,46.033,100,0,None
C00019,LOT07,72,126.37,3.5871,45.198,98.39,0,None
C00019,LOT07,168,125.32,3.6232,43.884,100,0,None
C00020,LOT08,0,25.05,0.0113,0.018,0,0,None
C00020,LOT08,24,124.96,3.5621,46.7,100,0,None
C00020,LOT08,72,124.07,3.5734,45.145,99.12,0,None
C00020,LOT08,168,126.09,3.5755,43.631,96.2,0,None
C00021,LOT09,0,25.69,0.0129,0.003,0,0,None
C00021,LOT09,24,123.96,3.5934,45.363,100,0,None
C00021,LOT09,72,122.07,3.5647,43.895,98.13,0,None
C00021,LOT09,168,124.48,3.6018,42.6,100,0,None
C00022,LOT10,0,25.14,0.007,0.006,0,0,None
C00022,LOT10,24,126.24,3.6258,46.205,99.19,0,None
C00022,LOT10,72,125.29,3.5982,47.48,99.19,0,None
C00022,LOT10,168,125.45,3.5908,48.738,100,0,None
C00023,LOT11,0,24.05,0,0.004,0,0,None
C00023,LOT11,24,123.23,3.5813,44.581,99.57,0,None
C00023,LOT11,72,124.84,3.5729,44.366,98.13,0,None
C00023,LOT11,168,125.01,3.5926,40.681,97.06,0,None
C00024,LOT12,0,25.77,0,0.038,0,0,None
C00024,LOT12,24,126.99,3.6417,45.221,99.77,0,None
C00024,LOT12,72,126.63,3.5964,44.205,99.31,0,None
C00024,LOT12,168,125.77,3.6107,43.423,98.46,0,None
C00025,LOT01,0,25.15,0,0.009,0,0,None
C00025,LOT01,24,123.57,3.5426,49.916,99,0,None
C00025,LOT01,72,122.35,3.5645,51.698,100,0,None
C00025,LOT01,168,125.18,3.5886,49.701,100,0,None
C00026,LOT02,0,25.28,0,0.056,0,1,Sudden Current Spike
C00026,LOT02,24,124.68,3.6159,45.905,99.37,1,Sudden Current Spike
C00026,LOT02,72,125.65,3.6231,155.927,100,1,Sudden Current Spike
C00026,LOT02,168,126.65,3.5996,44.886,99.66,1,Sudden Current Spike
C00027,LOT03,0,25.48,0,0.015,0,0,None
C00027,LOT03,24,122.25,3.5871,44.387,98.6,0,None
C00027,LOT03,72,124.22,3.5893,43.69,99.07,0,None
C00027,LOT03,168,123.47,3.5899,41.187,97.12,0,None
C00028,LOT04,0,25.3,0.0145,0.019,0,0,None
C00028,LOT04,24,124.3,3.6039,48.055,100,0,None
C00028,LOT04,72,125.29,3.6187,46.892,100,0,None
C00028,LOT04,168,122.26,3.583,46.452,99.86,0,None
C00029,LOT05,0,26,0.0017,0.022,0,0,None
C00029,LOT05,24,124.98,3.5415,46.942,100,0,None
C00029,LOT05,72,124.04,3.5636,44.606,97.67,0,None
C00029,LOT05,168,125.34,3.5422,44.923,100,0,None
C00030,LOT06,0,25.62,0,0.059,0,0,None
C00030,LOT06,24,125.34,3.5403,45.142,100,0,None
C00030,LOT06,72,126.17,3.5473,44.193,97.19,0,None
C00030,LOT06,168,125.65,3.539,41.802,97.81,0,None
C00031,LOT07,0,25.15,0,0.037,0,0,None
C00031,LOT07,24,121.62,3.5885,49.543,100,0,None
C00031,LOT07,72,123.45,3.6325,48.213,100,0,None
C00031,LOT07,168,125.29,3.6014,45.493,100,0,None
C00032,LOT08,0,26.15,0,0.046,0,1,Leakage Current Drift
C00032,LOT08,24,125.44,3.5857,49.132,98.97,1,Leakage Current Drift
C00032,LOT08,72,125.81,3.6182,55.92,100,1,Leakage Current Drift
C00032,LOT08,168,125.12,3.5833,69.358,100,1,Leakage Current Drift
C00033,LOT09,0,25.19,0.0133,0.062,0,0,None
C00033,LOT09,24,123.69,3.5945,46.801,100,0,None
C00033,LOT09,72,121.64,3.6169,45.415,100,0,None
C00033,LOT09,168,123.06,3.6216,45.07,100,0,None
C00034,LOT10,0,24.12,0.0125,0.054,0,1,Thermal Runaway
C00034,LOT10,24,121.83,3.5799,45.73,100,1,Thermal Runaway
C00034,LOT10,72,131,3.6006,49.531,100,1,Thermal Runaway
C00034,LOT10,168,148.94,3.5909,60.742,100,1,Thermal Runaway
C00035,LOT11,0,25.33,0.0051,0.021,0,0,None
C00035,LOT11,24,126.09,3.5904,48.504,100,0,None
C00035,LOT11,72,123.62,3.6473,47.317,100,0,None
C00035,LOT11,168,124.33,3.6106,44.658,100,0,None
C00036,LOT12,0,25.41,0.0065,0.037,0,1,Thermal Runaway
C00036,LOT12,24,126.46,3.5897,44.04,97.38,1,Thermal Runaway
C00036,LOT12,72,137.48,3.6024,49.915,100,1,Thermal Runaway
C00036,LOT12,168,169.81,3.6204,68.345,100,1,Thermal Runaway
C00037,LOT01,0,24.85,0,0.025,0,0,None
C00037,LOT01,24,125.26,3.6406,51.231,100,0,None
C00037,LOT01,72,127.19,3.6479,50.628,100,0,None
C00037,LOT01,168,126.12,3.6356,46.535,100,0,None
C00038,LOT02,0,24.32,0,0.005,0,0,None
C00038,LOT02,24,127.09,3.6006,41.898,98.66,0,None
C00038,LOT02,72,126.06,3.6322,41.78,98.28,0,None
C00038,LOT02,168,127.55,3.6076,42.346,99.59,0,None
C00039,LOT03,0,25.44,0.0033,0.009,0,0,None
C00039,LOT03,24,124.9,3.6152,44.49,98.23,0,None
C00039,LOT03,72,125.11,3.599,44.514,98.03,0,None
C00039,LOT03,168,125.97,3.5978,42.17,97.78,0,None
C00040,LOT04,0,25.25,0,0.1,0,0,None
C00040,LOT04,24,126.7,3.6076,46.856,100,0,None
C00040,LOT04,72,124.99,3.5814,45.597,99.08,0,None
C00040,LOT04,168,127.64,3.6019,41.998,97.29,0,None
C00041,LOT05,0,24.79,0.012,0.009,0,1,Thermal Runaway
C00041,LOT05,24,119.99,3.6046,46.91,99.97,1,Thermal Runaway
C00041,LOT05,72,134.84,3.5778,54.852,100,1,Thermal Runaway
C00041,LOT05,168,155.34,3.57,62.875,100,1,Thermal Runaway
C00042,LOT06,0,24.6,0.004,0.078,0,0,None
C00042,LOT06,24,126.06,3.5865,42.804,96.92,0,None
C00042,LOT06,72,126.13,3.5843,43.02,100,0,None
C00042,LOT06,168,126.52,3.5894,40.934,96.9,0,None
C00043,LOT07,0,24.42,0.0073,0.079,0,0,None
C00043,LOT07,24,123.64,3.5779,45.803,99.78,0,None
C00043,LOT07,72,122.46,3.5623,44.57,100,0,None
C00043,LOT07,168,121.85,3.5864,44.276,98.23,0,None
C00044,LOT08,0,24.19,0.0094,0.049,0,0,None
C00044,LOT08,24,125.3,3.5651,45.082,99.54,0,None
C00044,LOT08,72,125.08,3.5916,46.024,100,0,None
C00044,LOT08,168,125.85,3.6096,43.049,99.2,0,None
C00045,LOT09,0,24.84,0.0051,0.01,0,0,None
C00045,LOT09,24,126.19,3.6195,44.176,99.73,0,None
C00045,LOT09,72,126.33,3.6265,42.288,99.97,0,None
C00045,LOT09,168,128.69,3.5986,41.836,98.27,0,None
C00046,LOT10,0,25.59,0.0113,0.117,0,0,None
C00046,LOT10,24,126.97,3.6066,49.333,100,0,None
C00046,LOT10,72,125.03,3.6031,47.316,100,0,None
C00046,LOT10,168,126.56,3.5745,46.853,100,0,None
C00047,LOT11,0,23.79,0,0.003,0,1,Sudden Current Spike
C00047,LOT11,24,124.66,3.5881,180.987,100,1,Sudden Current Spike
C00047,LOT11,72,124.35,3.5897,47.352,100,1,Sudden Current Spike
C00047,LOT11,168,124.57,3.5471,45.75,97.12,1,Sudden Current Spike
C00048,LOT12,0,25.6,0.0022,0,0,0,None
C00048,LOT12,24,123.91,3.5875,50.238,100,0,None
C00048,LOT12,72,123.79,3.6047,49.179,99.56,0,None
C00048,LOT12,168,124.47,3.6034,47.226,100,0,None
C00049,LOT01,0,25.61,0.0064,0.027,0,0,None
C00049,LOT01,24,123.4,3.5774,46.528,99.31,0,None
C00049,LOT01,72,121.94,3.5588,44.202,96.3,0,None
C00049,LOT01,168,123.53,3.5725,45.655,97.02,0,None
C00050,LOT02,0,25.07,0.0024,0.095,0,0,None
C00050,LOT02,24,124.88,3.5813,46.769,100,0,None
C00050,LOT02,72,124.78,3.5433,45.464,99.47,0,None
C00050,LOT02,168,124.43,3.5793,42.785,97.59,0,None
C00051,LOT03,0,24.3,0.0192,0.056,0,0,None
C00051,LOT03,24,125.81,3.5591,48.296,100,0,None
C00051,LOT03,72,125.76,3.5719,47.874,100,0,None
C00051,LOT03,168,124.57,3.5655,47.365,98.79,0,None
C00052,LOT04,0,24.81,0.0051,0.066,0,0,None
C00052,LOT04,24,125.31,3.572,46.377,100,0,None
C00052,LOT04,72,124.38,3.597,45.258,98.99,0,None
C00052,LOT04,168,124.25,3.5751,45.678,100,0,None
C00053,LOT05,0,25.04,0,0.032,0,0,None
C00053,LOT05,24,126.21,3.6296,44.525,98.58,0,None
C00053,LOT05,72,127.73,3.6316,46.558,100,0,None
C00053,LOT05,168,127.11,3.6259,44,100,0,None
C00054,LOT06,0,24.44,0.0081,0.005,0,0,None
C00054,LOT06,24,123.41,3.5583,47.84,100,0,None
C00054,LOT06,72,126.24,3.5492,46.533,100,0,None
C00054,LOT06,168,124.03,3.5729,45.051,99,0,None
C00055,LOT07,0,24.93,0,0.002,0,0,None
C00055,LOT07,24,123.13,3.5889,45.667,99.8,0,None
C00055,LOT07,72,121.24,3.6006,45.155,98.95,0,None
C00055,LOT07,168,123.55,3.5642,41.727,97.78,0,None
C00056,LOT08,0,25.33,0.0048,0.013,0,0,None
C00056,LOT08,24,123.31,3.6149,47.029,100,0,None
C00056,LOT08,72,124.29,3.6135,45.746,100,0,None
C00056,LOT08,168,124.29,3.6,44.179,99.4,0,None
C00057,LOT09,0,25.04,0,0.074,0,0,None
C00057,LOT09,24,122.94,3.5995,47.899,100,0,None
C00057,LOT09,72,122.46,3.5886,44.929,99.09,0,None
C00057,LOT09,168,122.76,3.6025,46.174,99,0,None
C00058,LOT10,0,25.24,0,0.052,0,0,None
C00058,LOT10,24,125.59,3.5731,48.731,100,0,None
C00058,LOT10,72,126.41,3.6094,47.444,100,0,None
C00058,LOT10,168,125.11,3.6042,45.329,100,0,None
C00059,LOT11,0,24.4,0,0.036,0,0,None
C00059,LOT11,24,127.49,3.6101,43.873,100,0,None
C00059,LOT11,72,127.18,3.5819,44.679,97.33,0,None
C00059,LOT11,168,126.26,3.5728,43.323,96.87,0,None
C00060,LOT12,0,24.43,0,0.029,0,0,None
C00060,LOT12,24,124.41,3.6273,44.715,98.3,0,None
C00060,LOT12,72,125.21,3.6366,44.846,100,0,None
C00060,LOT12,168,126.15,3.6031,42.822,99.41,0,None
C00061,LOT01,0,25.25,0,0.06,0,0,None
C00061,LOT01,24,122,3.5995,46.196,99.22,0,None
C00061,LOT01,72,123.26,3.5923,45.276,96.64,0,None
C00061,LOT01,168,125.34,3.6079,41.602,97.42,0,None
C00062,LOT02,0,24.14,0,0.065,0,0,None
C00062,LOT02,24,122.7,3.6414,48.163,99.68,0,None
C00062,LOT02,72,123.24,3.6053,46,100,0,None
C00062,LOT02,168,122.8,3.5846,45.441,96.69,0,None
C00063,LOT03,0,26,0.0025,0.089,0,0,None
C00063,LOT03,24,123.57,3.585,43.964,100,0,None
C00063,LOT03,72,123.14,3.5775,43.481,98.59,0,None
C00063,LOT03,168,123.59,3.5778,42.377,96.77,0,None
C00064,LOT04,0,24.78,0,0.015,0,0,None
C00064,LOT04,24,125.67,3.6302,45.213,100,0,None
C00064,LOT04,72,124.07,3.608,47.208,100,0,None
C00064,LOT04,168,125.72,3.5964,44.209,99.38,0,None
C00065,LOT05,0,24.62,0,0.02,0,0,None
C00065,LOT05,24,124.49,3.5977,48.093,100,0,None
C00065,LOT05,72,124.37,3.5988,46.115,99.61,0,None
C00065,LOT05,168,125.83,3.5874,44.087,100,0,None
C00066,LOT06,0,24.95,0.0119,0.031,0,0,None
C00066,LOT06,24,124.29,3.5986,49.635,100,0,None
C00066,LOT06,72,126.57,3.5743,48.027,100,0,None
C00066,LOT06,168,125.77,3.5791,46.616,99.75,0,None
C00067,LOT07,0,24.26,0,0.01,0,0,None
C00067,LOT07,24,124.77,3.6182,43.571,100,0,None
C00067,LOT07,72,124.84,3.6003,43.88,98.64,0,None
C00067,LOT07,168,125.95,3.5837,41.983,99.85,0,None
C00068,LOT08,0,24.31,0.0066,0.025,0,1,Voltage Instability
C00068,LOT08,24,125.87,3.361,45.971,100,1,Voltage Instability
C00068,LOT08,72,126.72,3.7303,44.649,100,1,Voltage Instability
C00068,LOT08,168,125.4,3.5556,42.226,98.44,1,Voltage Instability
C00069,LOT09,0,24.9,0,0.099,0,0,None
C00069,LOT09,24,125.95,3.6002,46.506,100,0,None
C00069,LOT09,72,126.2,3.567,45.956,100,0,None
C00069,LOT09,168,126.47,3.582,45.575,100,0,None
C00070,LOT10,0,24.69,0.002,0.031,0,0,None
C00070,LOT10,24,126.04,3.6104,45.89,100,0,None
C00070,LOT10,72,126.63,3.586,43.066,100,0,None
C00070,LOT10,168,126.14,3.5724,42.706,99.98,0,None
C00071,LOT11,0,24.48,0.0021,0.02,0,0,None
C00071,LOT11,24,125.06,3.6034,49.731,100,0,None
C00071,LOT11,72,124.46,3.5907,48.719,100,0,None
C00071,LOT11,168,125.28,3.5981,47.202,100,0,None
C00072,LOT12,0,26.1,0.0042,0.053,0,0,None
C00072,LOT12,24,125.16,3.6345,46.739,100,0,None
C00072,LOT12,72,124.44,3.5942,46.445,100,0,None
C00072,LOT12,168,125.34,3.6183,44.647,99.59,0,None
C00073,LOT01,0,24.65,0.0094,0.018,0,0,None
C00073,LOT01,24,128.35,3.6069,46.024,100,0,None
C00073,LOT01,72,127.38,3.6112,44.972,100,0,None
C00073,LOT01,168,127.6,3.618,42.173,98.65,0,None
C00074,LOT02,0,25.3,0.0281,0.085,0,0,None
C00074,LOT02,24,123.28,3.6168,47.147,99.19,0,None
C00074,LOT02,72,123.63,3.6078,47.412,100,0,None
C00074,LOT02,168,124.25,3.6336,46.226,100,0,None
C00075,LOT03,0,24.5,0.0002,0.006,0,0,None
C00075,LOT03,24,127.17,3.6349,43.555,100,0,None
C00075,LOT03,72,126.8,3.5897,42.122,99.14,0,None
C00075,LOT03,168,126.06,3.602,40.645,97.62,0,None
C00076,LOT04,0,25.05,0.0108,0.015,0,0,None
C00076,LOT04,24,123.66,3.5958,46.988,99.98,0,None
C00076,LOT04,72,124.66,3.6039,46.748,100,0,None
C00076,LOT04,168,123.33,3.5894,44.013,98.67,0,None
C00077,LOT05,0,24.62,0,0.055,0,0,None
C00077,LOT05,24,124.41,3.5726,47.496,100,0,None
C00077,LOT05,72,124.44,3.5776,44.918,97.63,0,None
C00077,LOT05,168,125.49,3.5564,43.497,98.84,0,None
C00078,LOT06,0,25.61,0,0.047,0,0,None
C00078,LOT06,24,125.29,3.5726,44.539,98.45,0,None
C00078,LOT06,72,124.85,3.5994,44.163,99.35,0,None
C00078,LOT06,168,125.43,3.5462,44.78,97.72,0,None
C00079,LOT07,0,25.28,0,0.007,0,0,None
C00079,LOT07,24,125.24,3.6121,49.69,100,0,None
C00079,LOT07,72,125.23,3.5772,47.523,100,0,None
C00079,LOT07,168,124.53,3.6144,47.433,100,0,None
C00080,LOT08,0,24.73,0.0124,0.001,0,0,None
C00080,LOT08,24,122.21,3.5786,50.962,100,0,None
C00080,LOT08,72,121.88,3.6086,50.553,99.8,0,None
C00080,LOT08,168,121.68,3.5916,49.331,100,0,None
C00081,LOT09,0,24.62,0,0.025,0,0,None
C00081,LOT09,24,125.69,3.5771,51.441,100,0,None
C00081,LOT09,72,126,3.6476,50.968,100,0,None
C00081,LOT09,168,126.61,3.631,49.78,100,0,None
C00082,LOT10,0,24.86,0.0223,0.014,0,0,None
C00082,LOT10,24,125.4,3.6288,48.604,100,0,None
C00082,LOT10,72,123.16,3.6177,44.323,100,0,None
C00082,LOT10,168,125.2,3.6249,44.186,97.53,0,None
C00083,LOT11,0,25.04,0.0083,0.052,0,0,None
C00083,LOT11,24,125.99,3.6215,45.558,97.75,0,None
C00083,LOT11,72,125.16,3.6115,43.857,99.26,0,None
C00083,LOT11,168,124.76,3.6219,44.122,100,0,None
C00084,LOT12,0,24.41,0.0015,0.016,0,0,None
C00084,LOT12,24,126.71,3.6228,48.696,100,0,None
C00084,LOT12,72,125.46,3.6065,48.737,100,0,None
C00084,LOT12,168,126.64,3.5934,43.868,100,0,None
C00085,LOT01,0,25.8,0,0.025,0,0,None
C00085,LOT01,24,123.12,3.5959,46.415,99.73,0,None
C00085,LOT01,72,124.31,3.5722,45.063,100,0,None
C00085,LOT01,168,123.19,3.5711,44.795,100,0,None
C00086,LOT02,0,24.17,0,0.058,0,0,None
C00086,LOT02,24,124.59,3.558,47.499,100,0,None
C00086,LOT02,72,124.59,3.5755,47.503,99.97,0,None
C00086,LOT02,168,124.25,3.5361,46.058,99.2,0,None
C00087,LOT03,0,25.79,0,0.055,0,1,Sudden Current Spike
C00087,LOT03,24,123.24,3.5781,44.297,99.76,1,Sudden Current Spike
C00087,LOT03,72,120.29,3.5614,43.727,99.74,1,Sudden Current Spike
C00087,LOT03,168,121.8,3.5908,144.099,100,1,Sudden Current Spike
C00088,LOT04,0,25.05,0,0.049,0,1,Leakage Current Drift
C00088,LOT04,24,123.39,3.6355,49.496,100,1,Leakage Current Drift
C00088,LOT04,72,123.63,3.606,59.305,100,1,Leakage Current Drift
C00088,LOT04,168,125.26,3.6149,76.375,100,1,Leakage Current Drift
C00089,LOT05,0,24.79,0.01,0.03,0,0,None
C00089,LOT05,24,123.04,3.5821,43.816,96.57,0,None
C00089,LOT05,72,124.39,3.593,43.452,97.72,0,None
C00089,LOT05,168,124.16,3.6307,43.362,99.14,0,None
C00090,LOT06,0,25.29,0.0004,0.102,0,0,None
C00090,LOT06,24,124.62,3.6028,47.106,100,0,None
C00090,LOT06,72,123.74,3.5946,46.429,100,0,None
C00090,LOT06,168,124.36,3.5929,45.859,100,0,None
C00091,LOT07,0,25.38,0.0109,0.111,0,1,Sudden Current Spike
C00091,LOT07,24,124.9,3.5834,44.779,100,1,Sudden Current Spike
C00091,LOT07,72,125.44,3.62,45.415,100,1,Sudden Current Spike
C00091,LOT07,168,125.97,3.6301,136.159,100,1,Sudden Current Spike
C00092,LOT08,0,25.06,0.0001,0.072,0,0,None
C00092,LOT08,24,127.49,3.5787,48.126,100,0,None
C00092,LOT08,72,126.88,3.5773,49.313,100,0,None
C00092,LOT08,168,126.99,3.5988,47.048,100,0,None
C00093,LOT09,0,25.07,0.0105,0.043,0,0,None
C00093,LOT09,24,125.08,3.6201,47.852,100,0,None
C00093,LOT09,72,126.7,3.606,47.087,100,0,None
C00093,LOT09,168,125.99,3.6062,46.866,98.81,0,None
C00094,LOT10,0,24.78,0.0039,0.019,0,0,None
C00094,LOT10,24,123.92,3.579,47.95,100,0,None
C00094,LOT10,72,125.89,3.5671,46.921,100,0,None
C00094,LOT10,168,126.51,3.5523,44.341,100,0,None
C00095,LOT11,0,25.32,0.0018,0.004,0,0,None
C00095,LOT11,24,123.13,3.5971,50.313,100,0,None
C00095,LOT11,72,123.93,3.5945,51.324,100,0,None
C00095,LOT11,168,123.1,3.6163,49.896,100,0,None
C00096,LOT12,0,24.58,0.0047,0.036,0,0,None
C00096,LOT12,24,125.41,3.5938,49.217,100,0,None
C00096,LOT12,72,125.16,3.6218,46.514,100,0,None
C00096,LOT12,168,126.62,3.6093,46.783,100,0,None
C00097,LOT01,0,24.33,0.0082,0.03,0,0,None
C00097,LOT01,24,123.49,3.5682,47.706,100,0,None
C00097,LOT01,72,124.55,3.5845,49.121,100,0,None
C00097,LOT01,168,123.26,3.6191,46.221,99.48,0,None
C00098,LOT02,0,24.59,0.0009,0.049,0,0,None
C00098,LOT02,24,124.77,3.6271,50.804,100,0,None
C00098,LOT02,72,124.55,3.6239,49.406,100,0,None
C00098,LOT02,168,125.28,3.6257,46.319,99.64,0,None
C00099,LOT03,0,24.74,0.0239,0.053,0,0,None
C00099,LOT03,24,125.22,3.6162,49.185,100,0,None
C00099,LOT03,72,126.27,3.6009,48.14,100,0,None
C00099,LOT03,168,127.1,3.5817,46.936,100,0,None
C00100,LOT04,0,24.8,0,0.033,0,0,None
C00100,LOT04,24,123.84,3.6131,46.504,100,0,None
C00100,LOT04,72,123.09,3.597,47.613,100,0,None
C00100,LOT04,168,121.87,3.5984,45.826,99.11,0,None
C00101,LOT05,0,25.07,0,0.064,0,0,None
C00101,LOT05,24,124.67,3.567,42.728,98.22,0,None
C00101,LOT05,72,125.9,3.6072,43.793,100,0,None
C00101,LOT05,168,126.31,3.5921,40.523,99.14,0,None
C00102,LOT06,0,25.11,0.004,0.143,0,0,None
C00102,LOT06,24,123.91,3.615,49.053,100,0,None
C00102,LOT06,72,123.61,3.5996,48.041,100,0,None
C00102,LOT06,168,123.76,3.6191,47.767,99.7,0,None
C00103,LOT07,0,25.09,0,0.045,0,1,Voltage Instability
C00103,LOT07,24,125.08,3.904,41.997,100,1,Voltage Instability
C00103,LOT07,72,124.17,3.7683,41.878,100,1,Voltage Instability
C00103,LOT07,168,124.89,3.2919,40.651,100,1,Voltage Instability
C00104,LOT08,0,24.92,0.0039,0.02,0,0,None
C00104,LOT08,24,125.1,3.6226,46.87,99.49,0,None
C00104,LOT08,72,126.9,3.6259,45.62,100,0,None
C00104,LOT08,168,125.84,3.5967,42.882,100,0,None
C00105,LOT09,0,25.88,0.0077,0.048,0,1,Sudden Current Spike
C00105,LOT09,24,124.81,3.5825,108.062,100,1,Sudden Current Spike
C00105,LOT09,72,126.46,3.5945,41.703,99.28,1,Sudden Current Spike
C00105,LOT09,168,123.54,3.6087,40.052,97.62,1,Sudden Current Spike
C00106,LOT10,0,24.78,0,0.039,0,1,Thermal Runaway
C00106,LOT10,24,124.6,3.6154,46.253,100,1,Thermal Runaway
C00106,LOT10,72,137.72,3.6075,51.759,100,1,Thermal Runaway
C00106,LOT10,168,151.4,3.612,57.585,100,1,Thermal Runaway
C00107,LOT11,0,24.79,0.0001,0.027,0,1,Thermal Runaway
C00107,LOT11,24,122.18,3.599,46.755,100,1,Thermal Runaway
C00107,LOT11,72,140.32,3.5918,56.677,100,1,Thermal Runaway
C00107,LOT11,168,151.01,3.5856,62.061,100,1,Thermal Runaway
C00108,LOT12,0,25.25,0.0055,0.012,0,0,None
C00108,LOT12,24,127.13,3.6205,44.572,100,0,None
C00108,LOT12,72,126.64,3.6304,43.154,98.23,0,None
C00108,LOT12,168,125.72,3.6101,43.15,100,0,None
C00109,LOT01,0,25.12,0.0158,0.003,0,0,None
C00109,LOT01,24,124.91,3.6235,48.578,99.99,0,None
C00109,LOT01,72,125.32,3.6169,51.606,100,0,None
C00109,LOT01,168,123.81,3.6363,48.622,100,0,None
C00110,LOT02,0,24.46,0.0012,0.112,0,0,None
C00110,LOT02,24,124.63,3.5551,44.545,99.79,0,None
C00110,LOT02,72,125.93,3.5765,45.207,100,0,None
C00110,LOT02,168,125.69,3.5677,43.512,99.29,0,None
C00111,LOT03,0,25.21,0,0.033,0,0,None
C00111,LOT03,24,123.56,3.608,45.175,98.42,0,None
C00111,LOT03,72,125.17,3.5849,42.768,100,0,None
C00111,LOT03,168,124.09,3.5872,42.762,100,0,None
C00112,LOT04,0,24.76,0,0.112,0,0,None
C00112,LOT04,24,125.31,3.6052,49.395,100,0,None
